name,original price,special price,discount,plant size,return policy,type,life cycle,location,feng shui,plant age,hybride,brand
Pottplants Anthurium Plant  (Pack of 1),499.00, ₹199.00 ,60%,Medium,No Returns Allowed?,Foliage,Perennial,Indoor,No,1.00,No,Pottplants
"greenhousestore Ficus Bonsai Plant  (Hybrid, Pack of 1)",599.00, ₹130.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Roy's Fashoin Brahma Kamal Plant  (Hybrid, Pack of 1)",499.00, ₹249.00 ,50%,Medium,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Roy's Fashoin
"FURYHUB Tomato Plant  (Hybrid, Pack of 1)",399.00, ₹120.00 ,69%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,FURYHUB
"Global Mart Plant Pomegranate Plant  (Hybrid, Pack of 1)",398.00, ₹124.00 ,68%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Global Mart Plant
"greenhousestore Jackfruit Plant  (Hybrid, Pack of 1)",599.00, ₹120.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Aquinnah Graden White Sandalwood Plant  (Hybrid, Pack of 1)",489.00, ₹125.00 ,74%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,Aquinnah Graden
"Cloud Farm Gummy Gardenia Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Cloud Farm
"FSK Betel Nut/Supari Plant  (Hybrid, Pack of 1)",499.00, ₹121.00 ,75%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,0.50,Yes,FSK
"Cloud Farm Dragon Tree  (Hybrid, Pack of 3)",499.00, ₹125.00 ,74%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,Cloud Farm
"AloGardening Dragon Tree  (Hybrid, Pack of 2)",299.00, ₹130.00 ,56%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,AloGardening
Mrplant Jade Plant  (Pack of 1),499.00, ₹128.00 ,74%,Small,No Returns Allowed?,Air purifier plant,Annual,Indoor,No,3.00,No,Mrplant
"pagoda point Crasulla Ovata Plant  (Hybrid, Pack of 1)",405.00, ₹130.00 ,67%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,50.00,Yes,pagoda point
UGAOO Bamboo Palm Plant  (Pack of 1),499.00, ₹279.00 ,44%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,No,1.00,No,UGAOO
"LaughEarth White Sandalwood Plant  (Hybrid, Pack of 1)",499.00, ₹140.00 ,71%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,15.00,Yes,LaughEarth
"Ariya Berry Plant  (Hybrid, Pack of 1)",799.00, ₹126.00 ,84%,Medium,No Returns Allowed?,Fruit,Perennial,Outdoor,No,1.00,Yes,Ariya
"PlantsEarth Hibiscus Plant  (Hybrid, Pack of 1)",422.00, ₹120.00 ,71%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,PlantsEarth
"Bijaya Online Store Areca Palm  (Hybrid, Pack of 3)",449.00, ₹179.00 ,60%,Small,No Returns Allowed?,Air purifier plant,Perennial,Both,No,0.80,Yes,Bijaya Online Store
"ibains Mini Brazalian wood  (Hybrid, Pack of 44)",399.00, ₹186.00 ,53%,Medium,No Returns Allowed?,Bonsai,Perennial,Indoor,Yes,1.00,Yes,ibains
"AloGardening Guava Plant  (Hybrid, Pack of 1)",399.00, ₹185.00 ,53%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,AloGardening
"AloGardening Dragon Tree  (Hybrid, Pack of 6)",399.00, ₹160.00 ,59%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,AloGardening
"Ukanda Hibiscus Plant  (Hybrid, Pack of 1)",399.00, ₹119.00 ,70%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,0.50,Yes,Ukanda
"AloGardening Ber Apple Plant  (Hybrid, Pack of 1)",235.00, ₹139.00 ,40%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,0.20,Yes,AloGardening
"EVY Shami/Jand Plant  (Hybrid, Pack of 1)",299.00, ₹118.00 ,60%,Small,No Returns Allowed?,Herb,Annual,Both,No,1.00,Yes,EVY
"greenhousestore Hibiscus Plant  (Hybrid, Pack of 1)",599.00, ₹149.00 ,75%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"GreenHorizon Rudraksha Plant  (Hybrid, Pack of 1)",663.00, ₹118.00 ,82%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,0.30,Yes,GreenHorizon
"Corofitam Jamun Plant  (Hybrid, Pack of 1)",399.00, ₹123.00 ,69%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,Corofitam
"Ukanda Bay Leaf Plant  (Hybrid, Pack of 1)",349.00, ₹126.00 ,63%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,0.50,Yes,Ukanda
"Gabbro Two Layer Bamboo Plant  (Hybrid, Pack of 2)",999.00, ₹499.00 ,50%,Small,No Returns Allowed?,Bamboo,Perennial,Indoor,Yes,4.00,Yes,Gabbro
"Cloud Farm Tuberose/Rajnigandha Plant  (Hybrid, Pack of 1)",499.00, ₹121.00 ,75%,Medium,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,Cloud Farm
"Augadh Orange Plant  (Hybrid, Pack of 1)",299.00, ₹115.00 ,61%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Augadh
"natikrd Chrysanthemums/ Guldavari Plant  (Hybrid, Pack of 1)",499.00, ₹140.00 ,71%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,natikrd
"PETALFLEUR Adenium Plant  (Hybrid, Pack of 1)",399.00, ₹140.00 ,64%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,PETALFLEUR
Tribute Giloy Plant  (Pack of 20),489.00, ₹140.00 ,71%,Small,No Returns Allowed?,Herb,Perennial,Both,No,5.00,No,Tribute
"greenhousestore Shami/Jand Plant  (Hybrid, Pack of 1)",599.00, ₹123.00 ,79%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,greenhousestore
"greenhousestore Orchid Plant  (Hybrid, Pack of 1)",549.00, ₹127.00 ,76%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"HARIGURU Aparajita/ Butterfly Pea Plant  (Hybrid, Pack of 1)",299.00, ₹180.00 ,39%,Medium,No Returns Allowed?,Flower,Biennial,Both,Yes,0.50,Yes,HARIGURU
"PLANTTOOZS White Sandalwood Plant  (Hybrid, Pack of 1)",399.00, ₹130.00 ,67%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,PLANTTOOZS
"ZOOMGREEN Aglaonema Plant  (Hybrid, Pack of 1)",499.00, ₹258.00 ,48%,Medium,No Returns Allowed?,Air purifier plant,Annual,Indoor,No,1.00,Yes,ZOOMGREEN
"greenhousestore Grapes Plant  (Hybrid, Pack of 1)",599.00, ₹125.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Linaa Jade Plant  (Hybrid, Pack of 1)",999.00, ₹125.00 ,87%,Small,No Returns Allowed?,Bonsai,Annual,Both,Yes,1.00,Yes,Linaa
"ZOOMGREEN Aglaonema Plant  (Hybrid, Pack of 1)",499.00, ₹258.00 ,48%,Medium,No Returns Allowed?,Air purifier plant,Annual,Indoor,No,1.00,Yes,ZOOMGREEN
"HARIGURU Aparajita/ Butterfly Pea Plant  (Hybrid, Pack of 1)",299.00, ₹180.00 ,39%,Medium,No Returns Allowed?,Flower,Biennial,Both,Yes,0.50,Yes,HARIGURU
"greenhousestore Orchid Plant  (Hybrid, Pack of 1)",549.00, ₹127.00 ,76%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"greenhousestore Grapes Plant  (Hybrid, Pack of 1)",599.00, ₹125.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"PLANTTOOZS White Sandalwood Plant  (Hybrid, Pack of 1)",399.00, ₹130.00 ,67%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,PLANTTOOZS
"AquinnahGaden Pistachio Plant  (Hybrid, Pack of 1)",499.00, ₹189.00 ,62%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"MAITRA AND SONS Areca Plam  (Hybrid, Pack of 1)",199.00, ₹132.00 ,33%,Medium,No Returns Allowed?,Shrub,Perennial,Indoor,Yes,1.00,Yes,MAITRA AND SONS
"HIGH TECH FARM Wax Apple Plant  (Hybrid, Pack of 1)",499.00, ₹123.00 ,75%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,HIGH TECH FARM
"Grinian Spider Plant  (Hybrid, Pack of 1)",489.00, ₹165.00 ,66%,Small,No Returns Allowed?,Foliage,Perennial,Indoor,Yes,1.00,Yes,Grinian
GHF Two Layer Bamboo Plant  (Pack of 1),399.00, ₹256.00 ,35%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,1.00,No,GHF
PLANTTOOZS Coconut Plant  (Pack of 1),904.00, ₹196.00 ,78%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,No,PLANTTOOZS
"greenhousestore Curry Leaf Plant  (Hybrid, Pack of 1)",599.00, ₹125.00 ,79%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,greenhousestore
"AquinnahGaden Brahma Kamal Plant  (Hybrid, Pack of 1)",350.00, ₹126.00 ,64%,Medium,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,AquinnahGaden
Harshgreen Two Layer Bamboo Plant  (Pack of 2),799.00, ₹381.00 ,52%,Medium,No Returns Allowed?,Bamboo,Annual,Both,Yes,24.00,No,Harshgreen
"EVY Rudraksha Plant  (Hybrid, Pack of 1)",299.00, ₹114.00 ,61%,Small,No Returns Allowed?,Succulent,Annual,Both,No,1.00,Yes,EVY
"MircleGarden Tulsi Plant  (Hybrid, Pack of 1)",249.00, ₹120.00 ,51%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,MircleGarden
"Cloud Farm Adenium Plant  (Hybrid, Pack of 5)",499.00, ₹399.00 ,68%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Cloud Farm
"UGAOO Broken Heart Plant  (Hybrid, Pack of 1)",449.00, ₹299.00 ,33%,Small,No Returns Allowed?,Air purifier plant,Annual,Indoor,No,1.00,Yes,UGAOO
"AquinnahGaden Areca Palm  (Hybrid, Pack of 1)",499.00, ₹139.00 ,72%,Medium,No Returns Allowed?,Foliage,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"rimardmistu Drumstick Tree Plant  (Hybrid, Pack of 1)",599.00, ₹226.00 ,62%,Medium,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,rimardmistu
"greengrow Neem Plant  (Hybrid, Pack of 1)",589.00, ₹125.00 ,78%,Small,No Returns Allowed?,Foliage,Annual,Both,Yes,1.00,Yes,greengrow
"greenhousestore Apple Plant  (Hybrid, Pack of 1)",408.00, ₹118.00 ,71%,Medium,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,greenhousestore
"PB honey priya plant Shami/Jand Plant  (Hybrid, Pack of 1)",398.00, ₹118.00 ,70%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,PB honey priya plant
Kyari Jade Plant  (Pack of 1),499.00, ₹149.00 ,70%,Small,No Returns Allowed?,Foliage,Perennial,Indoor,No,1.00,No,Kyari
"Click to purchase Madhu Kamini Plant  (Hybrid, Pack of 1)",270.00, ₹132.00 ,51%,Small,No Returns Allowed?,Flower,Perennial,Both,No,0.20,Yes,Click to purchase
"FasanGreen Jasmine Plant  (Hybrid, Pack of 1)",249.00, ₹119.00 ,52%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,FasanGreen
"AquinnahGaden Black Pepper Plant  (Hybrid, Pack of 2)",489.00, ₹149.00 ,69%,Medium,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"PlantsMart Hibiscus Plant  (Hybrid, Pack of 1)",229.00, ₹120.00 ,47%,Small,No Returns Allowed?,Flower,Perennial,Both,No,0.90,Yes,PlantsMart
Skrhuvoy Coleus Plant  (Pack of 1),399.00, ₹160.00 ,59%,Small,No Returns Allowed?,Tree,Perennial,Indoor,No,1.00,No,Skrhuvoy
"Cloud Farm Grapes Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,Cloud Farm
"Gereen View Bel Plant  (Hybrid, Pack of 1)",699.00, ₹127.00 ,81%,Small,No Returns Allowed?,Tree,Perennial,Both,No,1.50,Yes,Gereen View
"BALA PLANT CREATION Cherry Fruit Plant  (Hybrid, Pack of 1)",499.00, ₹122.00 ,75%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,BALA PLANT CREATION
"ARYAN EVERGREEN Rose Plant  (Hybrid, Pack of 1)",339.00, ₹115.00 ,66%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,ARYAN EVERGREEN
ADITYA GREEN PLANTS AGP Bacopa Monnieri  (Pack of 1),399.00, ₹118.00 ,70%,Small,No Returns Allowed?,Herb,Annual,Both,No,1.00,No,ADITYA GREEN PLANTS AGP
"Cloud Farm Durian Plant  (Hybrid, Pack of 1)",499.00, ₹122.00 ,75%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"Global Mart Plant Mini Brazalian wood  (Hybrid, Pack of 1)",399.00, ₹125.00 ,68%,Medium,No Returns Allowed?,Bamboo,Perennial,Both,Yes,1.00,Yes,Global Mart Plant
"GreenHorizon Guava Plant  (Hybrid, Pack of 1)",250.00, ₹120.00 ,52%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,GreenHorizon
"greenhousestore Apple Plant  (Hybrid, Pack of 1)",599.00, ₹117.00 ,80%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"FURYHUB Portulaca Plant  (Hybrid, Pack of 1)",399.00, ₹134.00 ,66%,Small,No Returns Allowed?,Flower,Annual,Both,No,1.00,Yes,FURYHUB
"greenhousestore Wax Apple Plant  (Hybrid, Pack of 1)",599.00, ₹135.00 ,77%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"GreenGrowth Orchid Plant  (Hybrid, Pack of 4)",799.00, ₹146.00 ,81%,Small,No Returns Allowed?,Tree,Annual,Both,No,0.20,Yes,GreenGrowth
"Royplant Snake Plant  (Hybrid, Pack of 1)",432.00, ₹135.00 ,68%,Small,No Returns Allowed?,Foliage,Perennial,Both,Yes,1.00,Yes,Royplant
"Cloud Farm Rose Plant  (Hybrid, Pack of 1)",499.00, ₹119.00 ,76%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Cloud Farm
"GREENELAND lotus  (Hybrid, Pack of 1)",153.00, ₹112.00 ,26%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,GREENELAND
"Click to buy Calathea Dottie  (Hybrid, Pack of 1)",999.00, ₹146.00 ,85%,Small,No Returns Allowed?,Foliage,Perennial,Both,Yes,1.00,Yes,Click to buy
"Hug A Plant Vanilla Plant  (Hybrid, Pack of 1)",799.00, ₹399.00 ,50%,Small,No Returns Allowed?,Creepers and Climbers,Perennial,Both,No,1.00,Yes,Hug A Plant
"greengrow Snake Plant  (Hybrid, Pack of 1)",499.00, ₹191.00 ,61%,Small,No Returns Allowed?,Shrub,Annual,Both,Yes,1.00,Yes,greengrow
"EarthAngel Rose Plant  (Hybrid, Pack of 1)",499.00, ₹124.00 ,75%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,0.50,Yes,EarthAngel
KUMUBON Begonia Vanusta Plant  (Pack of 1),299.00, ₹161.00 ,46%,Medium,No Returns Allowed?,Flower,Perennial,Both,No,1.00,No,KUMUBON
"greenhousestore ZZ Plant  (Hybrid, Pack of 1)",599.00, ₹125.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"greenhousestore Star Fruit Carambola Grafted Plant  (Hybrid, Pack of 1)",376.00, ₹121.00 ,67%,Small,No Returns Allowed?,Fruit,Perennial,Indoor,Yes,1.00,Yes,greenhousestore
"HARIGURU Shahtoot/Mulberry Plant  (Hybrid, Pack of 1)",299.00, ₹189.00 ,36%,Medium,No Returns Allowed?,Fruit,Biennial,Both,Yes,0.50,Yes,HARIGURU
"greenhousestore Aloe Vera Plant  (Hybrid, Pack of 1)",599.00, ₹220.00 ,63%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,greenhousestore
"WZZA Laxmi Kamal Plant  (Hybrid, Pack of 1)",499.00, ₹297.00 ,40%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,2.00,Yes,WZZA
"FSK Cinnamon Plant  (Hybrid, Pack of 1)",419.00, ₹133.00 ,68%,Medium,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,FSK
"GHF Two Layer Bamboo Plant  (Hybrid, Pack of 1)",399.00, ₹174.00 ,56%,Small,No Returns Allowed?,Bamboo,Perennial,Indoor,Yes,4.00,Yes,GHF
"greenhousestore Jack Fruit Plant  (Hybrid, Pack of 1)",598.00, ₹139.00 ,76%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"PB HONEY PRIYA PLaNTS Bluebell barleria Plant  (Hybrid, Pack of 1)",299.00, ₹175.00 ,41%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,PB HONEY PRIYA PLaNTS
"jarr Money Plant  (Hybrid, Pack of 1)",499.00, ₹125.00 ,74%,Small,No Returns Allowed?,Air purifier plant,Perennial,Both,Yes,1.00,Yes,jarr
"PB honey priya plant Star Fruit Carambola Grafted Plant  (Hybrid, Pack of 1)",398.00, ₹124.00 ,68%,Medium,No Returns Allowed?,Fruit,Biennial,Both,Yes,1.00,Yes,PB honey priya plant
"greenhousestore Madhumalti/Rangoon Creeper  (Hybrid, Pack of 1)",313.00, ₹120.00 ,61%,Medium,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,greenhousestore
"AloGardening Betel Leaf Plant  (Hybrid, Pack of 1)",399.00, ₹185.00 ,53%,Small,No Returns Allowed?,Herb,Biennial,Both,No,1.00,Yes,AloGardening
"Samarthgreens Pomegranate Plant  (Hybrid, Pack of 1)",599.00, ₹126.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Indoor,Yes,1.00,Yes,Samarthgreens
"PEDPOUDHE Calathea Plant  (Hybrid, Pack of 1)",1000.00, ₹167.00 ,83%,Small,No Returns Allowed?,Foliage,Perennial,Indoor,No,1.00,Yes,PEDPOUDHE
"GreenHorizon Aloe Vera Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,68%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,0.60,Yes,GreenHorizon
"Cloud Farm Adenium Plant  (Hybrid, Pack of 6)",999.00, ₹299.00 ,70%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,Cloud Farm
"MAITRA AND SONS Jade Plant  (Hybrid, Pack of 1)",299.00, ₹125.00 ,58%,Medium,No Returns Allowed?,Foliage,Perennial,Both,No,1.00,Yes,MAITRA AND SONS
E-GARDEN RED ROSE PLANT  (Pack of 1),499.00, ₹145.00 ,70%,Small,No Returns Allowed?,Flower,Perennial,Indoor,No,1.00,No,E-GARDEN
"AquinnahGaden Areca Palm  (Hybrid, Pack of 1)",492.00, ₹152.00 ,69%,Medium,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"Zomoloco Ber Apple Plant  (Hybrid, Pack of 1)",399.00, ₹130.00 ,67%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Zomoloco
"ARYAN EVERGREEN Lily Plant  (Hybrid, Pack of 1)",599.00, ₹130.00 ,78%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,2.00,Yes,ARYAN EVERGREEN
"greenhousestore Banana Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,68%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,0.60,Yes,greenhousestore
"GaiaStore Orchid Plant  (Hybrid, Pack of 5)",899.00, ₹146.00 ,83%,Small,No Returns Allowed?,Flower,Biennial,Indoor,Yes,1.00,Yes,GaiaStore
"Gabbro Jade Plant  (Hybrid, Pack of 1)",499.00, ₹199.00 ,60%,Medium,No Returns Allowed?,Succulent,Perennial,Both,Yes,10.00,Yes,Gabbro
"Rm live plant ZZ Plant  (Hybrid, Pack of 1)",499.00, ₹169.00 ,66%,Small,No Returns Allowed?,Bonsai,Annual,Indoor,No,1.00,Yes,Rm live plant
"Vijay Sales Spider Plant  (Hybrid, Pack of 1)",498.00, ₹128.00 ,74%,Small,No Returns Allowed?,Foliage,Annual,Indoor,No,1.00,Yes,Vijay Sales
"greenhousestore Coconut Plant  (Hybrid, Pack of 1)",599.00, ₹169.00 ,71%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"greenhousestore Rose Plant  (Hybrid, Pack of 1)",499.00, ₹120.00 ,75%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"Tha live root Laxmi kamal Laxmi Kamal Plant  (Hybrid, Pack of 1)",500.00, ₹199.00 ,60%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,Tha live root Laxmi kamal
"AquinnahGaden Insulin Plant  (Hybrid, Pack of 1)",489.00, ₹123.00 ,74%,Medium,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"sealok Euphorbia Plant  (Hybrid, Pack of 1)",399.00, ₹127.00 ,68%,Small,No Returns Allowed?,Flower,Annual,Both,No,1.00,Yes,sealok
"ABEFARIYA Begonia Vanusta Plant  (Hybrid, Pack of 1)",1200.00, ₹140.00 ,88%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,ABEFARIYA
"FURYHUB Money Plant  (Hybrid, Pack of 1)",499.00, ₹130.00 ,73%,Small,No Returns Allowed?,Succulent,Annual,Both,No,1.00,Yes,FURYHUB
"AloGardening Adenium Plant  (Hybrid, Pack of 9)",1099.00, ₹483.00 ,56%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,AloGardening
"MAITRA AND SONS Rosemary Plant  (Hybrid, Pack of 1)",299.00, ₹180.00 ,39%,Medium,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,MAITRA AND SONS
"KUMUBON Madhu Kamini Plant  (Hybrid, Pack of 1)",299.00, ₹250.00 ,16%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,KUMUBON
"Cloud Farm Papaya Plant  (Hybrid, Pack of 1)",499.00, ₹136.00 ,72%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
LaughEarth Shami/Jand Plant  (Pack of 1),399.00, ₹170.00 ,57%,Small,No Returns Allowed?,Succulent,Perennial,Both,No,1.00,No,LaughEarth
"Marinetree Bougainvillea Plant  (Hybrid, Pack of 1)",249.00, ₹125.00 ,49%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,0.60,Yes,Marinetree
"Cloud Farm Chiku Plant  (Hybrid, Pack of 1)",499.00, ₹115.00 ,76%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"K,M.GREEN Tamarind Plant  (Hybrid, Pack of 1)",399.00, ₹127.00 ,68%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,"K,M.GREEN"
"Cloud Farm Almond Plant  (Hybrid, Pack of 1)",299.00, ₹130.00 ,56%,Medium,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,Cloud Farm
"ADA China Palm Plant  (Hybrid, Pack of 1)",499.00, ₹129.00 ,74%,Medium,No Returns Allowed?,Bonsai,Perennial,Both,No,1.00,Yes,ADA
"Samarthgreens Ficus Plant  (Hybrid, Pack of 1)",599.00, ₹140.00 ,76%,Medium,No Returns Allowed?,Bonsai,Perennial,Both,Yes,1.00,Yes,Samarthgreens
"Ukanda ZZ Plant  (Hybrid, Pack of 1)",399.00, ₹165.00 ,58%,Small,No Returns Allowed?,Shrub,Perennial,Indoor,Yes,0.50,Yes,Ukanda
"FSK Coconut Plant  (Hybrid, Pack of 1)",499.00, ₹196.00 ,60%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,FSK
"greenhousestore Lemon Plant  (Hybrid, Pack of 1)",599.00, ₹120.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Aquinnah Banana Plant  (Hybrid, Pack of 1)",499.00, ₹138.00 ,72%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Aquinnah
"greenhousestore Mango Plant  (Hybrid, Pack of 1)",599.00, ₹160.00 ,73%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"greenhousestore Black Pepper Plant  (Hybrid, Pack of 1)",499.00, ₹125.00 ,74%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,greenhousestore
"Cloud Farm Kiwi Plant  (Hybrid, Pack of 1)",499.00, ₹125.00 ,74%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Cloud Farm
"greenhousestore Amla Plant  (Hybrid, Pack of 1)",499.00, ₹122.00 ,75%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"GHF Two Layer Bamboo Plant  (Hybrid, Pack of 1)",799.00, ₹173.00 ,78%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,12.00,Yes,GHF
"AquinnahGaden Litchi Plant  (Hybrid, Pack of 1)",489.00, ₹123.00 ,74%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"greenhousestore Shami/Jand Plant  (Hybrid, Pack of 1)",598.00, ₹121.00 ,79%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,greenhousestore
AGAMI Two Layer Bamboo Plant  (Pack of 1),849.00, ₹294.00 ,65%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,1.00,No,AGAMI
"PETALFLEUR Adenium Plant  (Hybrid, Pack of 2)",399.00, ₹160.00 ,59%,Small,No Returns Allowed?,Bonsai,Perennial,Both,Yes,1.00,Yes,PETALFLEUR
"Cloud Farm Adenium Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Bonsai,Perennial,Indoor,Yes,1.00,Yes,Cloud Farm
"EliteGreen Betel Nut/Supari Plant  (Hybrid, Pack of 1)",299.00, ₹183.00 ,38%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,0.50,Yes,EliteGreen
Nature House Snake Plant  (Pack of 1),349.00, ₹182.00 ,47%,Small,No Returns Allowed?,Foliage,Perennial,Both,No,1.00,No,Nature House
