name,original price,special price,discount,plant size,return policy,type,life cycle,location,feng shui,plant age,hybride,brand
"Aquinnah Banana Plant  (Hybrid, Pack of 1)",499.00, ₹141.00 ,71%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Aquinnah
"Green view Coconut Plant  (Hybrid, Pack of 1)",419.00, ₹289.00 ,31%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
"Cloud Farm Grapes Plant  (Hybrid, Pack of 2)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"Global Mart Plant Cannon Ball Tree Plant  (Hybrid, Pack of 1)",399.00, ₹125.00 ,68%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Global Mart Plant
"AloGardening Adenium Plant  (Hybrid, Pack of 2)",489.00, ₹189.00 ,61%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,AloGardening
"Green view Coconut Plant  (Hybrid, Pack of 1)",449.00, ₹271.00 ,39%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
Ukaanda Money Plant  (Pack of 1),399.00, ₹127.00 ,68%,Small,No Returns Allowed?,Foliage,Annual,Both,Yes,1.00,No,Ukaanda
"greenhousestore Christmas Tree Plant  (Hybrid, Pack of 1)",596.00, ₹126.00 ,78%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Money Plant  (Hybrid, Pack of 1)",499.00, ₹130.00 ,73%,Medium,No Returns Allowed?,Air purifier plant,Perennial,Indoor,No,1.00,Yes,Cloud Farm
"Phoolistan Ficus Plant  (Hybrid, Pack of 1)",499.00, ₹130.00 ,73%,Small,No Returns Allowed?,Bonsai,Annual,Indoor,No,1.00,Yes,Phoolistan
"greenhousestore Litchi Plant  (Hybrid, Pack of 1)",599.00, ₹126.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"PB HONEY PRIYA PLaNTS Bluebell barleria Plant  (Hybrid, Pack of 1)",299.00, ₹166.00 ,44%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,PB HONEY PRIYA PLaNTS
UGAOO Golden Sedum Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Shrub,Annual,Indoor,No,1.00,No,UGAOO
"GLOBQRO Begonia Vanusta Plant  (Hybrid, Pack of 1)",499.00, ₹150.00 ,69%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,GLOBQRO
greengrow Shami/Jand Plant  (Pack of 1),299.00, ₹127.00 ,57%,Small,No Returns Allowed?,Foliage,Annual,Both,Yes,1.00,No,greengrow
"AloGardening Basmati Plant  (Hybrid, Pack of 1)",449.00, ₹178.00 ,60%,Small,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,AloGardening
"Cloud Farm Bougainvillea Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,Cloud Farm
"YourPlant Adenium Plant  (Hybrid, Pack of 2)",649.00, ₹145.00 ,77%,Small,No Returns Allowed?,Bonsai,Annual,Both,No,1.00,Yes,YourPlant
"PLANTGENIC NATURE White Sandalwood Plant  (Hybrid, Pack of 1)",320.00, ₹121.00 ,62%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,15.00,Yes,PLANTGENIC NATURE
GreenHorizon Bryophyllum Pinnatum/Patharchatta Plant  (Pack of 1),366.00, ₹134.00 ,63%,Small,No Returns Allowed?,Herb,Perennial,Both,No,0.00,No,GreenHorizon
"greenhousestore Curry Leaf Plant  (Hybrid, Pack of 1)",399.00, ₹134.00 ,66%,Medium,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Coconut Plant  (Hybrid, Pack of 1)",499.00, ₹150.00 ,69%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Cloud Farm
"ibains Mini Brazalian wood  (Hybrid, Pack of 1)",499.00, ₹237.00 ,52%,Large,No Returns Allowed?,Bonsai,Annual,Indoor,Yes,1.00,Yes,ibains
"Natural needs Adenium Plant  (Hybrid, Pack of 1)",499.00, ₹126.00 ,74%,Medium,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,Natural needs
"LaughEarth Bougainvillea Plant  (Hybrid, Pack of 1)",499.00, ₹139.00 ,72%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,LaughEarth
"LaughEarth Hibiscus Plant  (Hybrid, Pack of 1)",299.00, ₹171.00 ,42%,Medium,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,LaughEarth
"LivePlant Money Plant  (Hybrid, Pack of 1)",300.00, ₹113.00 ,62%,Small,No Returns Allowed?,Foliage,Perennial,Indoor,Yes,1.00,Yes,LivePlant
Leafyjoy Brazilian Wood  (Pack of 1),346.00, ₹165.00 ,52%,Medium,No Returns Allowed?,Air purifier plant,Annual,Indoor,Yes,3.00,No,Leafyjoy
"AquinnahGaden Brahma Kamal Plant  (Hybrid, Pack of 1)",489.00, ₹158.00 ,67%,Medium,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"greenhousestore Orange Plant  (Hybrid, Pack of 1)",599.00, ₹120.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Dragon Tree  (Hybrid, Pack of 5)",399.00, ₹136.00 ,65%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"KAVARI ENTERPRISE Rose Plant  (Hybrid, Pack of 1)",499.00, ₹155.00 ,68%,Small,No Returns Allowed?,Flower,Annual,Both,No,1.00,Yes,KAVARI ENTERPRISE
"Cloud Farm Chiku Plant  (Hybrid, Pack of 1)",199.00, ₹126.00 ,36%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"greenhousestore Adenium Plant  (Hybrid, Pack of 1)",599.00, ₹135.00 ,77%,Small,No Returns Allowed?,Bonsai,Annual,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Betel Leaf Plant  (Hybrid, Pack of 1)",499.00, ₹127.00 ,74%,Medium,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,Cloud Farm
"Risenshine Adenium Plant  (Hybrid, Pack of 1)",499.00, ₹127.00 ,74%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Risenshine
"TAWZIX Money Plant  (Hybrid, Pack of 1)",699.00, ₹125.00 ,82%,Small,No Returns Allowed?,Bonsai,Annual,Indoor,Yes,2.00,Yes,TAWZIX
"EarthAngel Snake Plant  (Hybrid, Pack of 1)",499.00, ₹163.00 ,67%,Small,No Returns Allowed?,Foliage,Annual,Both,Yes,0.50,Yes,EarthAngel
"Aziz Gazi Nursery Dragon Tree  (Hybrid, Pack of 1)",399.00, ₹128.00 ,67%,Small,No Returns Allowed?,Fruit,Biennial,Indoor,Yes,1.00,Yes,Aziz Gazi Nursery
"Medhi Snake Plant  (Hybrid, Pack of 1)",499.00, ₹139.00 ,72%,Small,No Returns Allowed?,Foliage,Perennial,Both,Yes,1.00,Yes,Medhi
"greenhousestore Ficus Bonsai  (Hybrid, Pack of 1)",499.00, ₹155.00 ,68%,Small,No Returns Allowed?,Bonsai,Annual,Both,Yes,1.00,Yes,greenhousestore
"Saeedia plant hub Acanthocerous Tetragonous Mons Variegated Fairy Castle Plant  (Hybrid, Pack of 1)",2999.00, ₹288.00 ,90%,Small,No Returns Allowed?,Bamboo,Annual,Both,No,1.00,Yes,Saeedia plant hub
"AGRAWBIC Two Layer Bamboo Plant  (Hybrid, Pack of 1)",498.00, ₹180.00 ,63%,Small,No Returns Allowed?,Bamboo,Perennial,Both,Yes,1.00,Yes,AGRAWBIC
Broken heart plant Broken Heart Plant  (Pack of 1),299.00, ₹155.00 ,48%,Small,No Returns Allowed?,Tree,Annual,Both,No,1.00,No,Broken heart plant
"Plant Paradise Rudraksha Plant  (Hybrid, Pack of 1)",299.00, ₹143.00 ,52%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Plant Paradise
"Gardanglow Marsh Barbel Plant  (Hybrid, Pack of 1)",570.00, ₹135.00 ,76%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,Gardanglow
"greenhousestore Baugainvillea Plant  (Hybrid, Pack of 1)",599.00, ₹129.00 ,78%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"Flora Solutions Money Plant  (Hybrid, Pack of 2)",599.00, ₹199.00 ,66%,Small,No Returns Allowed?,Bamboo,Annual,Both,Yes,3.00,Yes,Flora Solutions
"HouseOfCommon Orange Plant  (Hybrid, Pack of 1)",399.00, ₹120.00 ,69%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,2.00,Yes,HouseOfCommon
"Real Nature Three Layer Bamboo Plant  (Hybrid, Pack of 1)",659.00, ₹449.00 ,31%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,1.00,Yes,Real Nature
"greenhousestore Star Fruit Carambola Grafted Plant  (Hybrid, Pack of 1)",499.00, ₹139.00 ,72%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Real Nature Three Layer Bamboo Plant  (Hybrid, Pack of 1)",659.00, ₹449.00 ,31%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,1.00,Yes,Real Nature
"PB honey priya plant Bottle Gourd  (Hybrid, Pack of 35)",294.00, ₹113.00 ,61%,Small,No Returns Allowed?,Vegetable,Perennial,Both,No,1.00,Yes,PB honey priya plant
"Oxygreenplant Shahtoot/Mulberry Plant  (Hybrid, Pack of 1)",399.00, ₹126.00 ,68%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,Oxygreenplant
"Ukanda Canna Lily Plant  (Hybrid, Pack of 1)",399.00, ₹148.00 ,62%,Small,No Returns Allowed?,Flower,Biennial,Indoor,Yes,0.50,Yes,Ukanda
"LaughEarth Hibiscus Plant  (Hybrid, Pack of 3)",379.00, ₹134.00 ,64%,Medium,No Returns Allowed?,Flower,Perennial,Outdoor,No,1.00,Yes,LaughEarth
"Real Nature Lucky Bamboo Plant  (Hybrid, Pack of 1)",549.00, ₹296.00 ,46%,Small,No Returns Allowed?,Bamboo,Perennial,Indoor,Yes,1.00,Yes,Real Nature
"greenhousestore Mint Plant  (Hybrid, Pack of 1)",399.00, ₹126.00 ,68%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,0.60,Yes,greenhousestore
"JESAA GREENS Money Plant, Bamboo Palm Plant  (Pack of 2)",1599.00, ₹452.00 ,71%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,No,2.00,No,JESAA GREENS
